Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,"-2,7756E-17","0,003",0,0,0,"0,12731","0,00011505","6,9513E-09","-9,0206E-22","0,00053821","-2,3714E-22","0,00065249",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/base_link.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/base_link.STL,,base_chasis-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_base_tornillo_frontal_izquierdo,"-0,079596","0,059512","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0207E-22","0,00053837","-2,3742E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_izquierdo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_izquierdo.STL,,base_chasis-2;tornillo_uniones-3,Origin_joint_base_tornillo_frontal_izquierdo,,joint_base_tornillo_frontal_izquierdo,fixed,"0,080251","-0,060001","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_frontal_izquierdo,"-0,079596","0,059512","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","4,8083E-20","0,00053837","-1,7689E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_izquierdo.STL,,tornillo_uniones-3;base_chasis-1,Origin_joint_tapa_tornillo_frontal_izquierdo,,joint_tapa_tornillo_frontal_izquierdo,fixed,0,0,"0,048",0,0,0,link_base_tornillo_frontal_izquierdo,0,0,0,,,,,,,,,,,,
link_tapa_bateria,"0,038525","0,00046209","0,0033466",0,0,0,"0,22076","0,00018366","6,9513E-09","-6,0991E-22","0,00055664","1,2031E-22","0,00073054",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_bateria.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_bateria.STL,,base_chasis-1;bateria-1,Origin_joint_tapa_bateria,,joint_tapa_bateria,fixed,"-0,14706","0,0592","0,002",0,0,0,link_tapa_tornillo_frontal_izquierdo,0,0,0,,,,,,,,,,,,
link_base_tornillo_central_izquierdo,"-9,9672E-07","0,05852","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0207E-22","0,00053837","-2,3743E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_central_izquierdo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_central_izquierdo.STL,,base_chasis-2;tornillo_uniones-6,Origin_joint_base_tornillo_central_izquierdo,,joint_base_tornillo_central_izquierdo,fixed,0,"-0,059001","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_central_izquierdo,"-9,9672E-07","0,05852","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4454E-22","0,00053837","-1,7627E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_central_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_central_izquierdo.STL,,tornillo_uniones-6;base_chasis-1,Origin_joint_tapa_tornillo_central_izquierdo,,joint_tapa_tornillo_central_izquierdo,fixed,0,0,"0,048",0,0,0,link_base_tornillo_central_izquierdo,0,0,0,,,,,,,,,,,,
link_base_tornillo_trasero_izquierdo,"0,079594","0,059512","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","1,8928E-22","0,00053837","-2,3668E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_trasero_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_trasero_izquierdo.STL,,tornillo_uniones-1;base_chasis-2,Origin_joint_base_tornillo_trasero_izquierdo,Axis_joint_base_tornillo_trasero_izquierdo,joint_base_tornillo_trasero_izquierdo,fixed,"-0,080249","-0,060001","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_trasero_izquierdo,"0,079594","0,059512","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4444E-22","0,00053837","-1,755E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_trasero_izquierdo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_trasero_izquierdo.STL,,base_chasis-1;tornillo_uniones-1,Origin_joint_tapa_tornillo_trasero_izquierdo,,joint_tapa_tornillo_trasero_izquierdo,fixed,0,0,"0,048",0,0,0,link_base_tornillo_trasero_izquierdo,0,0,0,,,,,,,,,,,,
link_base_tornillo_frontal_derecho,"-0,079596","-0,05951","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0222E-22","0,00053837","-2,3815E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_frontal_derecho.STL,,base_chasis-2;tornillo_uniones-4,Origin_joint_base_tornillo_frontal_derecho,,joint_base_tornillo_frontal_derecho,fixed,"0,080251","0,059999","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_frontal_derecho,"-0,079596","-0,05951","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4438E-22","0,00053837","-1,7698E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_frontal_derecho.STL,,base_chasis-1;tornillo_uniones-4,Origin_joint_tapa_tornillo_frontal_derecho,,joint_tapa_tornillo_frontal_derecho,fixed,0,0,"0,048",0,0,0,link_base_tornillo_frontal_derecho,0,0,0,,,,,,,,,,,,
link_base_tornillo_central_derecho,"-9,9672E-07","-0,058518","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0187E-22","0,00053837","-2,3675E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_central_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_central_derecho.STL,,base_chasis-2;tornillo_uniones-5,Origin_joint_base_tornillo_central_derecho,,joint_base_tornillo_central_derecho,fixed,0,"0,058999","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_central_derecho,"-9,9672E-07","-0,058518","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4473E-22","0,00053837","-1,7559E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_central_derecho.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_central_derecho.STL,,tornillo_uniones-5;base_chasis-1,Origin_joint_tapa_tornillo_central_derecho,,joint_tapa_tornillo_central_derecho,fixed,0,0,"0,048",0,0,0,link_base_tornillo_central_derecho,0,0,0,,,,,,,,,,,,
link_base_tornillo_trasero_derecho,"0,079594","-0,05951","0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","-9,0143E-22","0,00053837","-2,3668E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_trasero_derecho.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_tornillo_trasero_derecho.STL,,tornillo_uniones-2;base_chasis-2,Origin_joint_base_tornillo_trasero_derecho,Axis_joint_base_tornillo_trasero_derecho,joint_base_tornillo_trasero_derecho,fixed,"-0,080249","0,059999","0,002",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_tapa_tornillo_trasero_derecho,"0,079594","-0,05951","-0,0011876",0,0,0,"0,12836","0,00011521","6,9513E-09","3,4517E-22","0,00053837","-1,7552E-22","0,0006525",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_trasero_derecho.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_tapa_tornillo_trasero_derecho.STL,,tornillo_uniones-2;base_chasis-1,Origin_joint_tapa_tornillo_trasero_derecho,,joint_tapa_tornillo_trasero_derecho,fixed,0,0,"0,048",0,0,0,link_base_tornillo_trasero_derecho,0,0,0,,,,,,,,,,,,
link_base_motor_chasis_frontal_izquiedo,"-0,06655","0,025035","-0,002899",0,0,0,"0,12865","0,00011513","6,9513E-09","-9,0597E-22","0,00053828","2,0221E-08","0,00065255",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_frontal_izquiedo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_frontal_izquiedo.STL,,base_chasis-2;soporte_motor-3,Origin_joint_base_motor_chasis_frontal_izquiedo,,joint_base_motor_chasis_frontal_izquiedo,fixed,"0,067251","-0,025333","0,006",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_base_motor_motor_frontal_izquierdo,"-0,0060173","-0,0082525","0,0020814",0,0,0,"0,027698","1,9162E-06","-2,5397E-08","-5,078E-22","9,8665E-06","2,0221E-08","9,5181E-06",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_frontal_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_frontal_izquierdo.STL,,soporte_motor-3;motor_carrito-5,Origin_joint_base_motor_motor_frontal_izquierdo,,joint_base_motor_motor_frontal_izquierdo,fixed,0,"-0,0076676","0,0097379",0,0,0,link_base_motor_chasis_frontal_izquiedo,0,0,0,,,,,,,,,,,,
link_motor_rueda_frontal_izquierda,"-5,5511E-17","4,4409E-16","-0,031043",0,0,0,"0,02029","8,2082E-06","1,1334E-21","-8,3296E-22","8,2082E-06","-1,3763E-21","1,4291E-05",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_frontal_izquierda.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_frontal_izquierda.STL,,llantas_carrito-2,Origin_joint_motor_rueda_frontal_izquierda,Axis_joint_motor_rueda_frontal_izquierda,joint_motor_rueda_frontal_izquierda,continuous,"-0,02681","-0,0207","0,0023429","1,5708",0,"3,1416",link_base_motor_motor_frontal_izquierdo,0,0,1,3,12,,,,,"0,1","0,2",,,,
link_base_motor_chasis_trasero_izquiedo,"0,065493","0,025824","-0,002899",0,0,0,"0,12865","0,00011513","6,9513E-09","-2,968E-21","0,00053828","2,0221E-08","0,00065255",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_trasero_izquiedo.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_trasero_izquiedo.STL,,base_chasis-2;soporte_motor-2,Origin_joint_base_motor_chasis_trasero_izquiedo,,joint_base_motor_chasis_trasero_izquiedo,fixed,"-0,066183","-0,02613","0,006",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_base_motor_motor_trasero_izquierdo,"0,0060173","-0,0082525","0,0020814",0,0,0,"0,027698","1,9162E-06","2,5397E-08","9,0176E-23","9,8665E-06","2,0221E-08","9,5181E-06",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_trasero_izquierdo.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_trasero_izquierdo.STL,,soporte_motor-2;motor_carrito-3,Origin_joint_base_motor_motor_trasero_izquierdo,,joint_base_motor_motor_trasero_izquierdo,fixed,0,"-0,0076676","0,0097379",0,0,0,link_base_motor_chasis_trasero_izquiedo,0,0,0,,,,,,,,,,,,
link_motor_rueda_trasera_izquierda,"3,3307E-15","1,4433E-15","-0,031043",0,0,0,"0,02029","8,2082E-06","2,0079E-22","-2,5524E-22","8,2082E-06","9,4038E-22","1,4291E-05",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_trasera_izquierda.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_trasera_izquierda.STL,,llantas_carrito-1,Origin_joint_motor_rueda_trasera_izquierda,Axis_joint_motor_rueda_trasera_izquierda,joint_motor_rueda_trasera_izquierda,continuous,"0,02681","-0,0207","0,0023429","1,5708",0,"3,1416",link_base_motor_motor_trasero_izquierdo,0,0,1,3,12,,,,,"0,1","0,2",,,,
link_base_motor_chasis_frontal_derecho,"-0,06655","-0,025033","-0,002899",0,0,0,"0,12865","0,00011513","6,9513E-09","-9,1038E-22","0,00053828","-2,0221E-08","0,00065255",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_frontal_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_frontal_derecho.STL,,base_chasis-2;soporte_motor-4,Origin_joint_base_motor_chasis_frontal_derecho,,joint_base_motor_chasis_frontal_derecho,fixed,"0,067251","0,025331","0,006",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_base_motor_motor_frontal_derecho,"-0,0060173","0,0082525","0,0020814",0,0,0,"0,027698","1,9162E-06","2,5397E-08","4,0396E-23","9,8665E-06","-2,0221E-08","9,5181E-06",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_frontal_derecho.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_frontal_derecho.STL,,soporte_motor-4;motor_carrito-4,Origin_joint_base_motor_motor_frontal_derecho,,joint_base_motor_motor_frontal_derecho,fixed,0,"0,0076676","0,0097379",0,0,0,link_base_motor_chasis_frontal_derecho,0,0,0,,,,,,,,,,,,
link_motor_rueda_frontal_derecho,"8,4655E-15","5,9952E-15","0,031043",0,0,0,"0,02029","8,2082E-06","-2,9224E-21","5,1885E-22","8,2082E-06","-6,4344E-22","1,4291E-05",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_frontal_derecho.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_frontal_derecho.STL,,llantas_carrito-3,Origin_joint_motor_rueda_frontal_derecho,Axis_joint_motor_rueda_frontal_derecho,joint_motor_rueda_frontal_derecho,continuous,"-0,02681","0,0207","0,0023429","-1,5708",0,0,link_base_motor_motor_frontal_derecho,0,0,1,3,12,,,,,"0,1","0,2",,,,
link_base_motor_chasis_trasero_derecho,"0,06611","-0,024351","-0,002899",0,0,0,"0,12865","0,00011513","6,9513E-09","-9,9798E-22","0,00053828","-2,0221E-08","0,00065255",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_trasero_derecho.STL,1,1,0,1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_chasis_trasero_derecho.STL,,base_chasis-2;soporte_motor-1,Origin_joint_base_motor_chasis_trasero_derecho,,joint_base_motor_chasis_trasero_derecho,fixed,"-0,066806","0,024642","0,006",0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_base_motor_motor_trasero_derecho,"0,0060173","0,0082525","0,0020814",0,0,0,"0,027698","1,9162E-06","-2,5397E-08","2,8378E-22","9,8665E-06","-2,0221E-08","9,5181E-06",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_trasero_derecho.STL,"0,89804","0,91765","0,92941",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_base_motor_motor_trasero_derecho.STL,,soporte_motor-1;motor_carrito-2,Origin_joint_base_motor_motor_trasero_derecho,,joint_base_motor_motor_trasero_derecho,fixed,0,"0,0076676","0,0097379",0,0,0,link_base_motor_chasis_trasero_derecho,0,0,0,,,,,,,,,,,,
link_motor_rueda_traseo_derecho,"8,3267E-17","-7,7716E-16","0,031043",0,0,0,"0,02029","8,2082E-06","6,0867E-21","-9,3472E-22","8,2082E-06","1,183E-21","1,4291E-05",0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_traseo_derecho.STL,"0,25098","0,25098","0,25098",1,0,0,0,0,0,0,package://robot_movil_terrestre/meshes/link_motor_rueda_traseo_derecho.STL,,llantas_carrito-4,Origin_joint_motor_rueda_traseo_derecho,Axis_joint_motor_rueda_traseo_derecho,joint_motor_rueda_traseo_derecho,continuous,"0,02681","0,0207","0,0023429","-1,5708",0,0,link_base_motor_motor_trasero_derecho,0,0,1,3,12,,,,,"0,1","0,2",,,,
